album,album_id,album_link,artist,rating,rev_date,reviewer,year
Recess,19139,http://www.pitchfork.com/reviews/albums/19139-skrillex-recess/,Skrillex,5.7,"March 21, 2014",Nate Patrin,2014
St. Carolyn by the Sea / Suite From There Will Be Blood,19141,http://www.pitchfork.com/reviews/albums/19141-jonny-greenwood-bryce-dessner-st-carolyn-by-the-sea-suite-from-there-will-be-blood/,Jonny Greenwood / Bryce Dessner,7.8,"March 21, 2014",Jayson Greene,2014
Forcefield,19087,http://www.pitchfork.com/reviews/albums/19087-tokyo-police-club-forcefield/,Tokyo Police Club,6.4,"March 21, 2014",Ian Cohen,2014
Light Divide,19089,http://www.pitchfork.com/reviews/albums/19089-jon-porras-light-divide/,Jon Porras,7.6,"March 21, 2014",Grayson Haver Currin,2014
Waterfall EP,19118,http://www.pitchfork.com/reviews/albums/19118-evian-christ-waterfall-ep/,Evian Christ,7.3,"March 21, 2014",Mark Richardson,2014
Catch the Throne: The Mixtape,19140,http://www.pitchfork.com/reviews/albums/19140-catch-the-throne-the-mixtape/,Various Artists,4,"March 20, 2014",Craig Jenkins,2014
Underneath the Rainbow,19099,http://www.pitchfork.com/reviews/albums/19099-the-black-lips-underneath-the-rainbow/,Black Lips,6.3,"March 20, 2014",Evan Minsker,2014
Daughter of Everything,19127,http://www.pitchfork.com/reviews/albums/19127-vertical-scratchers-daughter-of-everything/,Vertical Scratchers,7.2,"March 20, 2014",Stuart Berman,2014
Endless Struggle,19138,http://www.pitchfork.com/reviews/albums/19138-offenders-we-must-rebeli-hate-myselfendless-struggle/,Offenders,8.2,"March 20, 2014",Jason Heller,2014
I Am the Last of All the Field That Fell: A Channel,18924,http://www.pitchfork.com/reviews/albums/18924-current-93-i-am-the-last-of-all-the-field-that-fell-a-channel/,Current 93,5.1,"March 20, 2014",Grayson Haver Currin,2014
When the Past Arrives,19115,http://www.pitchfork.com/reviews/albums/19115-woo-when-the-past-arrives/,Woo,7.7,"March 19, 2014",Andy Beta,2014
Vermont,19129,http://www.pitchfork.com/reviews/albums/19129-vermont-vermont/,Vermont,6.4,"March 19, 2014",Andrew Gaerig,2014
Mirrors the Sky,19134,http://www.pitchfork.com/reviews/albums/19134-lyla-foy-mirrors-the-sky/,Lyla Foy,7.3,"March 19, 2014",Stephen M. Deusner,2014
Darlings,19114,http://www.pitchfork.com/reviews/albums/19114-kevin-drew-darlings/,Kevin Drew,7.6,"March 19, 2014",Ian Cohen,2014
Suck My Shirt,19119,http://www.pitchfork.com/reviews/albums/19119-the-coathangers-suck-my-shirt/,The Coathangers,7.2,"March 19, 2014",Evan Minsker,2014
Lost in the Dream,19094,http://www.pitchfork.com/reviews/albums/19094-the-war-on-drugs-lost-in-the-dream/,The War on Drugs,8.8,"March 18, 2014",Stuart Berman,2014
Awake,19110,http://www.pitchfork.com/reviews/albums/19110-tycho-awake/,Tycho,7,"March 18, 2014",Nick Neyland,2014
Dental Denial,19117,http://www.pitchfork.com/reviews/albums/19117-beth-israel-dental-denial/,Beth Israel,7.1,"March 18, 2014",Evan Minsker,2014
The Drain,19070,http://www.pitchfork.com/reviews/albums/19070-psalm-zero-the-drain/,Psalm Zero,7.7,"March 18, 2014",Grayson Haver Currin,2014
Satellite Flight: The Journey to Mother Moon,19133,http://www.pitchfork.com/reviews/albums/19133-kid-cudi-satellite-flight-the-journey-to-mother-moon/,Kid Cudi,6,"March 18, 2014",Jayson Greene,2014
Hey EP,19111,http://www.pitchfork.com/reviews/albums/19111-le1f-hey-ep/,Le1f,7.6,"March 17, 2014",Andrew Ryce,2014
Say Yes to Love,19086,http://www.pitchfork.com/reviews/albums/19086-perfect-pussy-say-yes-to-love/,Perfect Pussy,8.6,"March 17, 2014",Lindsay Zoladz,2014
Love Is Here To Stay,19116,http://www.pitchfork.com/reviews/albums/19116-bo-anders-persson-love-is-here-to-stay/,Bo Anders Persson,7.6,"March 17, 2014",Marc Masters,2014
We Got a Love,19112,http://www.pitchfork.com/reviews/albums/19112-shit-robot-we-got-a-love/,Shit Robot,6.4,"March 17, 2014",Nick Neyland,2014
Jimmy the Burnout,19113,http://www.pitchfork.com/reviews/albums/19113-nocando-jimmy-the-burnout/,Nocando,7.7,"March 17, 2014",Nate Patrin,2014
The Unsemble,19128,http://www.pitchfork.com/reviews/albums/19128-the-unsemble-the-unsemble/,The Unsemble,6.6,"March 14, 2014",Jason Heller,2014
Fabric 74,19102,http://www.pitchfork.com/reviews/albums/19102-move-d-fabric-74/,Move D,8,"March 14, 2014",Larry Fitzmaurice,2014
Hammer of the Witch,19105,http://www.pitchfork.com/reviews/albums/19105-ringworm-hammer-of-the-witch/,Ringworm,7,"March 14, 2014",Andy O'Connor,2014
The Drive In Theatre,19131,http://www.pitchfork.com/reviews/albums/19131-curreny-the-drive-in-theatre/,Curren$y,7.6,"March 14, 2014",Jonah Bromwich,2014
Joyland,19103,http://www.pitchfork.com/reviews/albums/19103-trust-joyland/,Trust,6.8,"March 14, 2014",Paul Thompson,2014
Soft Opening,19132,http://www.pitchfork.com/reviews/albums/19132-posse-soft-opening/,Posse,7.9,"March 13, 2014",Ian Cohen,2014
Rat Conspiracy,19090,http://www.pitchfork.com/reviews/albums/19090-unwound-rat-conspiracy/,Unwound,9.1,"March 13, 2014",Jason Heller,2014
The Aquaplano Sessions,19095,http://www.pitchfork.com/reviews/albums/19095-donato-dozzy-nuel-voices-from-the-lake-the-aquaplano-sessions-velo-di-maya-ep/,Donato Dozzy / Nuel,8,"March 13, 2014",Andy Beta,2014
The Take Off and Landing of Everything,19108,http://www.pitchfork.com/reviews/albums/19108-elbow-the-take-off-and-landing-of-everything/,Elbow,6.2,"March 13, 2014",Jason Heller,2014
PiÌ±ata,18930,http://www.pitchfork.com/reviews/albums/18930-freddie-gibbs-and-madlib-pinata/,Madlib / Freddie Gibbs,8,"March 13, 2014",Nate Patrin,2014
Untitled EP,19084,http://www.pitchfork.com/reviews/albums/19084-benedek-untitled-ep/,Benedek,7.6,"March 12, 2014",Andy Beta,2014
"‰ÛÏSecond Poem To Karmela"" Or Gypsies Are Important",19063,http://www.pitchfork.com/reviews/albums/19063-peter-walker-bob-frank-second-poem-to-karmela-or-gypsies-are-important-bob-frank/,Peter Walker,8.3,"March 12, 2014",Grayson Haver Currin,2014
The Parasitic Survival of the Human Race,19085,http://www.pitchfork.com/reviews/albums/19085-dodsferd-the-parasitic-survival-of-the-human-race/,Dodsferd,5.8,"March 12, 2014",Zoe Camp,2014
Young Money: Rise Of An Empire,19072,http://www.pitchfork.com/reviews/albums/19072-young-money-rise-of-an-empire/,Various Artists,4.9,"March 12, 2014",Carrie Battan,2014
Dean Wareham,19098,http://www.pitchfork.com/reviews/albums/19098-dean-wareham-dean-wareham/,Dean Wareham,7.5,"March 12, 2014",Stuart Berman,2014
Abandoned City,19001,http://www.pitchfork.com/reviews/albums/19001-hauschka-abandoned-city/,Hauschka,6.5,"March 11, 2014",Brian Howe,2014
Heathen,18962,http://www.pitchfork.com/reviews/albums/18962-thou-heathen/,Thou,8.4,"March 11, 2014",Kim Kelly,2014
Glow,19000,http://www.pitchfork.com/reviews/albums/19000-tensnake-glow/,Tensnake,5.7,"March 11, 2014",Larry Fitzmaurice,2014
Zentropy,19130,http://www.pitchfork.com/reviews/albums/19130-frankie-cosmos-zentropy/,Frankie Cosmos,8,"March 11, 2014",Mike Powell,2014
Belomancie,19107,http://www.pitchfork.com/reviews/albums/19107-sun-araw-belomancie/,Sun Araw,7.7,"March 11, 2014",Marc Masters,2014
Love Letters,19101,http://www.pitchfork.com/reviews/albums/19101-metronomy-love-letters/,Metronomy,5.2,"March 10, 2014",Nate Patrin,2014
Doubled Exposure,19073,http://www.pitchfork.com/reviews/albums/19073-d-charles-speer-and-the-helix-doubled-exposure/,D. Charles Speer and the Helix,6.6,"March 10, 2014",Joel Oliphint,2014
Axxa/Abraxas,19091,http://www.pitchfork.com/reviews/albums/19091-axxaabraxas-axxaabraxas/,Axxa/Abraxas,6.7,"March 10, 2014",T. Cole Rachel,2014
Kindly Bent to Free Us,18859,http://www.pitchfork.com/reviews/albums/18859-cynic-kindly-bent-to-free-us/,Cynic,4,"March 10, 2014",Grayson Haver Currin,2014
Eagulls,18987,http://www.pitchfork.com/reviews/albums/18987-eagulls-eagulls/,Eagulls,7.4,"March 10, 2014",Brandon Stosuy,2014
No Mythologies to Follow,19050,http://www.pitchfork.com/reviews/albums/19050-m-no-mythologies-to-follow/,MÌ÷,7.1,"March 7, 2014",Renato Pagnani,2014
G I R L,19100,http://www.pitchfork.com/reviews/albums/19100-pharrell-g-i-r-l/,Pharrell,6.2,"March 7, 2014",Larry Fitzmaurice,2014
Spectre,19052,http://www.pitchfork.com/reviews/albums/19052-laibach-spectre/,Laibach,4.9,"March 7, 2014",Douglas Wolk,2014
The Drop Beneath,19062,http://www.pitchfork.com/reviews/albums/19062-eternal-summers-the-drop-beneath/,Eternal Summers,7.8,"March 7, 2014",T. Cole Rachel,2014
The Soul of All Natural Things,19066,http://www.pitchfork.com/reviews/albums/19066-linda-perhacs-the-soul-of-all-natural-things/,Linda Perhacs,6.8,"March 7, 2014",Jayson Greene,2014
Mastermind,19097,http://www.pitchfork.com/reviews/albums/19097-rick-ross-mastermind/,Rick Ross,5.8,"March 6, 2014",Craig Jenkins,2014
Aqonis,19068,http://www.pitchfork.com/reviews/albums/19068-eadonmm-aqonis/,Eadonmm,7.5,"March 6, 2014",Patrick St. Michel,2014
Three Seashells,18881,http://www.pitchfork.com/reviews/albums/18881-lakutis-three-seashells/,Lakutis,6.7,"March 6, 2014",Zach Kelly,2014
Yung Archetype EP,19069,http://www.pitchfork.com/reviews/albums/19069-tunde-olaniran-yung-archetype-ep/,Tunde Olaniran,7.3,"March 6, 2014",Kyle Kramer,2014
Guilty of Everything,19071,http://www.pitchfork.com/reviews/albums/19071-nothing-guilty-of-everything/,Nothing,6.9,"March 6, 2014",Ian Cohen,2014
English Oceans,18972,http://www.pitchfork.com/reviews/albums/18972-drive-by-truckers-english-oceans/,Drive-By Truckers,6.7,"March 5, 2014",Ian Cohen,2014
Warfaring Strangers: Darkscorch Canticles,19096,http://www.pitchfork.com/reviews/albums/19096-warfaring-strangers-darkscorch-canticles/,Various Artists,7.6,"March 5, 2014",Jason Heller,2014
Dreams,19083,http://www.pitchfork.com/reviews/albums/19083-whomadewho-dreams/,WhoMadeWho,5.8,"March 5, 2014",Jonah Bromwich,2014
The Power and the Glory,18978,http://www.pitchfork.com/reviews/albums/18978-perc-the-power-and-the-glory/,Perc,7.6,"March 5, 2014",Andrew Gaerig,2014
The Air You Found,19042,http://www.pitchfork.com/reviews/albums/19042-empty-flowers-the-air-you-found/,Empty Flowers,7.4,"March 5, 2014",Grayson Haver Currin,2014
Tomorrow's Hits,18971,http://www.pitchfork.com/reviews/albums/18971-the-men-tomorrows-hits/,The Men,7.2,"March 4, 2014",Ian Cohen,2014
Estoile Naiant,19035,http://www.pitchfork.com/reviews/albums/19035-patten-estoile-naiant/,patten,6,"March 4, 2014",Nick Neyland,2014
Pulsing EP,19012,http://www.pitchfork.com/reviews/albums/19012-tomas-barfod-pulsing-ep/,Tomas Barfod,6.9,"March 4, 2014",Jamieson Cox,2014
Shochu Sounds,19082,http://www.pitchfork.com/reviews/albums/19082-obey-city-seiho-shochu-sounds/,Obey City / Seiho,6.8,"March 4, 2014",Patrick St. Michel,2014
Death After Life,19067,http://www.pitchfork.com/reviews/albums/19067-thug-entrancer-death-after-life/,Thug Entrancer,7.6,"March 4, 2014",Nate Patrin,2014
Apocalypse Soon EP,19047,http://www.pitchfork.com/reviews/albums/19047-major-lazer-apocalypse-soon-ep/,Major Lazer,5.8,"March 3, 2014",Jamieson Cox,2014
Atlas,19060,http://www.pitchfork.com/reviews/albums/19060-real-estate-atlas/,Real Estate,8.8,"March 3, 2014",Jayson Greene,2014
Island Intervals,19053,http://www.pitchfork.com/reviews/albums/19053-death-vessel-island-intervals/,Death Vessel,7.5,"March 3, 2014",Jeremy Gordon,2014
Soul Jazz Presents: Studio One Rocksteady,19019,http://www.pitchfork.com/reviews/albums/19019-soul-jazz-presents-studio-one-rocksteady/,Various Artists,8.1,"March 3, 2014",Erin MacLeod,2014
The Perfect Lullaby Vol. 2,19065,http://www.pitchfork.com/reviews/albums/19065-nguzunguzu-the-perfect-lullaby-vol-2/,Nguzunguzu,7.8,"March 3, 2014",Nate Patrin,2014
Three Love Songs,19056,http://www.pitchfork.com/reviews/albums/19056-ricky-eat-acid-three-love-songs/,Ricky Eat Acid,7.8,"February 28, 2014",Marc Hogan,2014
Electric Balloon,19061,http://www.pitchfork.com/reviews/albums/19061-ava-luna-electric-balloon/,Ava Luna,7.7,"February 28, 2014",Lindsay Zoladz,2014
Wave 1,19006,http://www.pitchfork.com/reviews/albums/19006-com-truise-wave-1/,Com Truise,6.7,"February 28, 2014",Paul Thompson,2014
Oxymoron,19043,http://www.pitchfork.com/reviews/albums/19043-schoolboy-q-oxymoron/,Schoolboy Q,7.8,"February 28, 2014",Craig Jenkins,2014
"Home, Like Noplace Is There",18963,http://www.pitchfork.com/reviews/albums/18963-the-hotelier-home-like-noplace-is-there/,The Hotelier,8.2,"February 28, 2014",Ian Cohen,2014
Moodymann,19037,http://www.pitchfork.com/reviews/albums/19037-moodyman-moodymann/,Moodymann,7.8,"February 27, 2014",Andy Beta,2014
Close to the Glass,19054,http://www.pitchfork.com/reviews/albums/19054-the-notwist-close-to-the-glass/,The Notwist,6.4,"February 27, 2014",Nick Neyland,2014
Konstellaatio,19032,http://www.pitchfork.com/reviews/albums/19032-artist-konstellaatio/,Ì÷,7.4,"February 27, 2014",Grayson Haver Currin,2014
Manhattan,19023,http://www.pitchfork.com/reviews/albums/19023-skaters-manhattan/,Skaters,4.8,"February 27, 2014",Stuart Berman,2014
Workbook 25,19051,http://www.pitchfork.com/reviews/albums/19051-bob-mould-workbook-25/,Bob Mould,8,"February 27, 2014",Jason Heller,2014
Present Tense,18961,http://www.pitchfork.com/reviews/albums/18961-wild-beasts-present-tense/,Wild Beasts,8.2,"February 26, 2014",Ian Cohen,2014
The Satanist,19021,http://www.pitchfork.com/reviews/albums/19021-behemoth-the-satanist/,Behemoth,8.2,"February 26, 2014",Grayson Haver Currin,2014
No. 2,19064,http://www.pitchfork.com/reviews/albums/19064-christina-vantzou-no-2/,Christina Vantzou,6.9,"February 26, 2014",Colin Joyce,2014
Inner Fire,19057,http://www.pitchfork.com/reviews/albums/19057-the-souljazz-orchestra-inner-fire/,The Souljazz Orchestra,6.6,"February 26, 2014",Winston Cook-Wilson,2014
Indoor Living,19055,http://www.pitchfork.com/reviews/albums/19055-superchunk-indoor-living/,Superchunk,7.6,"February 26, 2014",Jayson Greene,2014
Hubba Bubba,19041,http://www.pitchfork.com/reviews/albums/19041-damaged-bug-hubba-bubba/,Damaged Bug,6.8,"February 25, 2014",Evan Minsker,2014
Morning Phase,18959,http://www.pitchfork.com/reviews/albums/18959-beck-morning-phase/,Beck,6.8,"February 25, 2014",Ryan Dombal,2014
NVM,19049,http://www.pitchfork.com/reviews/albums/19049-tacocat-nvm/,Tacocat,7.4,"February 25, 2014",Devon Maloney,2014
The King,19044,http://www.pitchfork.com/reviews/albums/19044-ramesh-the-king/,Ramesh,6.5,"February 25, 2014",Brian Howe,2014
White Sands,19034,http://www.pitchfork.com/reviews/albums/19034-homeboy-sandman-white-sands/,Homeboy Sandman,7.3,"February 25, 2014",Nate Patrin,2014
Blank Project,19017,http://www.pitchfork.com/reviews/albums/19017-neneh-cherry-blank-project/,Neneh Cherry,7.7,"February 24, 2014",Miles Raymer,2014
St. Vincent,19020,http://www.pitchfork.com/reviews/albums/19020-st-vincent-st-vincent/,St. Vincent,8.6,"February 24, 2014",Lindsay Zoladz,2014
Interrupt,19018,http://www.pitchfork.com/reviews/albums/19018-bleeding-rainbow-interrupt/,Bleeding Rainbow,6.4,"February 24, 2014",Jayson Greene,2014
Flash,18985,http://www.pitchfork.com/reviews/albums/18985-dena-flash/,DENA,6.7,"February 24, 2014",Carrie Battan,2014
Palermo House Gang,19033,http://www.pitchfork.com/reviews/albums/19033-magic-touch-palermo-house-gang/,Magic Touch,7.2,"February 24, 2014",Larry Fitzmaurice,2014
I Am Back To Blow Your Mind Once Again,19059,http://www.pitchfork.com/reviews/albums/19059-peter-buck-i-am-back-to-blow-your-mind-once-again/,Peter Buck,7.1,"February 21, 2014",Stephen M. Deusner,2014
Digital Resistance,18958,http://www.pitchfork.com/reviews/albums/18958-slough-feg-digital-resistance/,Slough Feg,8.1,"February 21, 2014",Grayson Haver Currin,2014
Songs of Descent,19013,http://www.pitchfork.com/reviews/albums/19013-yautja-songs-of-descent/,Yautja,6.9,"February 21, 2014",Zoe Camp,2014
Your Arsenal,18999,http://www.pitchfork.com/reviews/albums/18999-morrissey-your-arsenal/,Morrissey,7.3,"February 21, 2014",Douglas Wolk,2014
Voices in a Rented Room,19008,http://www.pitchfork.com/reviews/albums/19008-new-bums-voices-in-a-rented-room/,New Bums,7.6,"February 21, 2014",Stuart Berman,2014
Black Light Spiral,18960,http://www.pitchfork.com/reviews/albums/18960-untold-black-light-spiral/,Untold,7.6,"February 20, 2014",Larry Fitzmaurice,2014
New Roof EP,19038,http://www.pitchfork.com/reviews/albums/19038-karen-gwyer-new-roof-ep/,Karen Gwyer,6.1,"February 20, 2014",Nick Neyland,2014
"Someday, The Moon Will Be Gold",19046,http://www.pitchfork.com/reviews/albums/19046-kalle-mattson-someday-the-moon-will-be-gold/,Kalle Mattson,7.6,"February 20, 2014",Jamieson Cox,2014
Acid Arab Collections,19026,http://www.pitchfork.com/reviews/albums/19026-acid-arab-collections-ep01/,Various Artists,6.8,"February 20, 2014",Miles Raymer,2014
Dark Was the Night,19016,http://www.pitchfork.com/reviews/albums/19016-optimo-dark-was-the-night/,Optimo,7.1,"February 20, 2014",Miles Raymer,2014
Guilt Mirrors,19011,http://www.pitchfork.com/reviews/albums/19011-shocking-pinks-guilt-mirrors/,Shocking Pinks,5.5,"February 19, 2014",Ian Cohen,2014
Motivational Jumpsuit,18957,http://www.pitchfork.com/reviews/albums/18957-guided-by-voices-motivational-jumpsuit/,Guided By Voices,7.3,"February 19, 2014",Stuart Berman,2014
Ghosts of Then and Now,19040,http://www.pitchfork.com/reviews/albums/19040-illum-sphere-ghosts-of-then-and-now/,Illum Sphere,7.3,"February 19, 2014",Brian Howe,2014
Days of the Fallen,18997,http://www.pitchfork.com/reviews/albums/18997-junius-days-of-the-fallen-sun/,Junius,6.8,"February 19, 2014",Jayson Greene,2014
Oblique To All Paths,18981,http://www.pitchfork.com/reviews/albums/18981-culted-oblique-to-all-paths/,Culted,6.5,"February 19, 2014",Grayson Haver Currin,2014
Blame Confusion,18995,http://www.pitchfork.com/reviews/albums/18995-solids-blame-confusion/,Solids,5.8,"February 18, 2014",Paul Thompson,2014
As The Stars,19029,http://www.pitchfork.com/reviews/albums/19029-woods-of-desolation-as-the-stars/,Woods of Desolation,8,"February 18, 2014",Kim Kelly,2014
Voices,19009,http://www.pitchfork.com/reviews/albums/19009-phantogram-voices/,Phantogram,6,"February 18, 2014",Stuart Berman,2014
Small Town Heroes,19031,http://www.pitchfork.com/reviews/albums/19031-hurray-for-the-riff-raff-small-town-heroes/,Hurray for the Riff Raff,7.8,"February 18, 2014",Stephen M. Deusner,2014
Breaks My Heart Each Time,19010,http://www.pitchfork.com/reviews/albums/19010-leyland-kirby-breaks-my-heart-each-time/,Leyland Kirby,7.2,"February 18, 2014",Nick Neyland,2014
Burn Your Fire for No Witness,18956,http://www.pitchfork.com/reviews/albums/18956-angel-olsen-burn-your-fire-for-no-witness/,Angel Olsen,8.3,"February 17, 2014",Lindsay Zoladz,2014
Somewhere Else,18996,http://www.pitchfork.com/reviews/albums/18996-lydia-loveless-somewhere-else/,Lydia Loveless,7.3,"February 17, 2014",Stephen M. Deusner,2014
Dizzy Heights,19028,http://www.pitchfork.com/reviews/albums/19028-neil-finn-dizzy-heights/,Neil Finn,6.9,"February 17, 2014",Stephen M. Deusner,2014
Cheatahs,18994,http://www.pitchfork.com/reviews/albums/18994-cheetahs-cheatahs/,Cheatahs,6.5,"February 17, 2014",Ian Cohen,2014
The Soul Is Quick,19030,http://www.pitchfork.com/reviews/albums/19030-hands-the-soul-is-quick/,Hands,6.8,"February 17, 2014",Nick Neyland,2014
A Place That Doesn't Exist,18993,http://www.pitchfork.com/reviews/albums/18993-willis-earl-beal-a-place-that-doesnt-exist/,Willis Earl Beal,6.6,"February 14, 2014",Jeremy D. Larson,2014
Adhesive,19024,http://www.pitchfork.com/reviews/albums/19024-container-adhesive/,Container,8,"February 14, 2014",Andrew Gaerig,2014
Acoustic at the Ryman,18938,http://www.pitchfork.com/reviews/albums/18938-band-of-horses-acoustic-at-the-ryman/,Band of Horses,3.6,"February 14, 2014",Stephen M. Deusner,2014
Est...Folle,19022,http://www.pitchfork.com/reviews/albums/19022-brigitte-fontaine-estfolle-comme-a-la-radio/,Brigitte Fontaine,7.3,"February 14, 2014",Andy Beta,2014
All Love's Legal,18990,http://www.pitchfork.com/reviews/albums/18990-planningtorock-all-loves-legal/,Planningtorock,7.5,"February 14, 2014",Jessica Suarez,2014
Sleepwalking Sailors,18857,http://www.pitchfork.com/reviews/albums/18857-helms-alee-sleepwalking-sailors/,Helms Alee,7.8,"February 13, 2014",Grayson Haver Currin,2014
Death By Burning,18992,http://www.pitchfork.com/reviews/albums/18992-mantar-death-by-burning/,Mantar,7.4,"February 13, 2014",Andy O'Connor,2014
Blue Film,18969,http://www.pitchfork.com/reviews/albums/18969-lo-fang-blue-film/,Lo-Fang,5.1,"February 13, 2014",Kyle Kramer,2014
Cilvia Demo,19014,http://www.pitchfork.com/reviews/albums/19014-isaiah-rashad-cilvia/,Isaiah Rashad,8.2,"February 13, 2014",Nate Patrin,2014
Animal Heart,18986,http://www.pitchfork.com/reviews/albums/18986-nina-persson-animal-heart/,Nina Persson,5.5,"February 13, 2014",Katherine St. Asaph,2014
‰ÛÊ‰ÛÊ‰ÛÊ,18989,http://www.pitchfork.com/reviews/albums/18989-crosses-/,‰ÛÊ‰ÛÊ‰ÛÊ,5,"February 12, 2014",Ian Cohen,2014
Real Hair EP,18935,http://www.pitchfork.com/reviews/albums/18935-speedy-ortiz-real-hair-ep/,Speedy Ortiz,7.6,"February 12, 2014",Paul Thompson,2014
Sun Structures,18955,http://www.pitchfork.com/reviews/albums/18955-temples-sun-structures/,Temples,5.5,"February 12, 2014",Jayson Greene,2014
Lowlife,19005,http://www.pitchfork.com/reviews/albums/19005-afterhours-lowlife/,Afterhours,6.5,"February 12, 2014",Andrew Gaerig,2014
Freezing Opening Thawing EP,18976,http://www.pitchfork.com/reviews/albums/18976-shackleton-freezing-thawing-opening-ep/,Shackleton,7.5,"February 12, 2014",Gabriel Szatan,2014
Hardcore Traxx: Dance Mania Records 1986-1997,18947,http://www.pitchfork.com/reviews/albums/18947-hardcore-traxx-dance-mania-records-1986-1997/,Various Artists,8.5,"February 11, 2014",Andrew Gaerig,2014
Hotel Valentine,18922,http://www.pitchfork.com/reviews/albums/18922-cibo-matto-hotel-valentine/,Cibo Matto,7,"February 11, 2014",Nate Patrin,2014
Tranquilizers,19002,http://www.pitchfork.com/reviews/albums/19002-dog-bite-tranquilizers/,Dog Bite,3.2,"February 11, 2014",Jeremy D. Larson,2014
Soak,18982,http://www.pitchfork.com/reviews/albums/18982-foetus-jg-thirlwell-soak-the-blue-eyes-ost/,Foetus,6.9,"February 11, 2014",Marc Masters,2014
You're Gonna Miss It All,18984,http://www.pitchfork.com/reviews/albums/18984-modern-baseball-youre-gonna-miss-it-all/,Modern Baseball,7.2,"February 11, 2014",Ian Cohen,2014
Slip Away,18991,http://www.pitchfork.com/reviews/albums/18991-total-slacker-slip-away/,Total Slacker,4.5,"February 10, 2014",Evan Minsker,2014
Longhena,18916,http://www.pitchfork.com/reviews/albums/18916-gridlink-longhena/,Gridlink,8,"February 10, 2014",Andy O'Connor,2014
Galore,18951,http://www.pitchfork.com/reviews/albums/18951-thumpers-galore/,Thumpers,6,"February 10, 2014",Ian Cohen,2014
Little Red,18907,http://www.pitchfork.com/reviews/albums/18907-katy-b-little-red/,Katy B,7.8,"February 10, 2014",Jordan Sargent,2014
Emmaar,18909,http://www.pitchfork.com/reviews/albums/18909-tinariwen-emmaar/,Tinariwen,8.1,"February 10, 2014",Joe Tangari,2014
July,18941,http://www.pitchfork.com/reviews/albums/18941-marissa-nadler-july/,Marissa Nadler,8.1,"February 7, 2014",Jenn Pelly,2014
Instant Alpha,19003,http://www.pitchfork.com/reviews/albums/19003-feadz-instant-alpha/,Feadz,4.3,"February 7, 2014",Nate Patrin,2014
THRU.U,18983,http://www.pitchfork.com/reviews/albums/18983-white-rainbow-thruu/,White Rainbow,6,"February 7, 2014",Andrew Ryce,2014
DJ Moondawg Presents: We Invented the Bop,18988,http://www.pitchfork.com/reviews/albums/18988-we-invented-the-bop/,Various Artists,7.2,"February 7, 2014",Meaghan Garvey,2014
Chorus EP,18923,http://www.pitchfork.com/reviews/albums/18923-holly-herndon-chorus-ep/,Holly Herndon,8,"February 7, 2014",Mark Richardson,2014
The Unnatural World,18828,http://www.pitchfork.com/reviews/albums/18828-have-a-nice-life-the-unnatural-world/,Have a Nice Life,7.8,"February 6, 2014",Jason Heller,2014
Along the Way,18939,http://www.pitchfork.com/reviews/albums/18939-mark-mcguire-along-the-way/,Mark McGuire,7.9,"February 6, 2014",Grayson Haver Currin,2014
Dunes,18919,http://www.pitchfork.com/reviews/albums/18919-gardens-villa-dunes/,Gardens & Villa,6.2,"February 6, 2014",Ian Cohen,2014
Spiritual Emergency,18871,http://www.pitchfork.com/reviews/albums/18871-guardian-alien-greg-fox-spiritual-emergency-mitral-transmission/,Guardian Alien,6.2,"February 6, 2014",Grayson Haver Currin,2014
BUM,19004,http://www.pitchfork.com/reviews/albums/19004-cheveu-bum/,Cheveu,6.6,"February 6, 2014",Evan Minsker,2014
Deleted/Fool EP,18932,http://www.pitchfork.com/reviews/albums/18932-jerome-lol-deletedfool-ep/,Jerome LOL,7.5,"February 5, 2014",Jonah Bromwich,2014
Terrestrials,18861,http://www.pitchfork.com/reviews/albums/18861-sunn-o-ulver-terrestrials/,Sunn O))) / Ulver,6.9,"February 5, 2014",Grayson Haver Currin,2014
Woodsman,18934,http://www.pitchfork.com/reviews/albums/18934-woodsmen-woodsman/,Woodsman,6.7,"February 5, 2014",Colin St. John,2014
Angel Guts: Red Classroom,18863,http://www.pitchfork.com/reviews/albums/18863-xiu-xiu-angel-guts-red-classroom/,Xiu Xiu,6.6,"February 5, 2014",Ian Cohen,2014
Worth EP,18936,http://www.pitchfork.com/reviews/albums/18936-mas-ysa-worth-ep/,Mas Ysa,7.8,"February 5, 2014",Brian Howe,2014
After the Disco,18914,http://www.pitchfork.com/reviews/albums/18914-broken-bells-after-the-disco/,Broken Bells,5.4,"February 4, 2014",Larry Fitzmaurice,2014
"High Land, Hard Rain",18867,http://www.pitchfork.com/reviews/albums/18867-aztec-camera-high-land-hard-rain/,Aztec Camera,8.3,"February 4, 2014",Jason Heller,2014
The Life Stains,18974,http://www.pitchfork.com/reviews/albums/18974-dj-dog-dick-the-life-stains/,DJ Dog Dick,6.9,"February 4, 2014",Marc Masters,2014
VoyAager,18977,http://www.pitchfork.com/reviews/albums/18977-aa-voyaager/,Aa,6.7,"February 4, 2014",Stuart Berman,2014
"So Long, See You Tomorrow",18862,http://www.pitchfork.com/reviews/albums/18862-bombay-bicycle-club-so-long-see-you-tomorrow/,Bombay Bicycle Club,7.7,"February 4, 2014",Ian Cohen,2014
